Customer_ID,Loyalty_Program_Member,Customer_Lifetime_Segment
00-107-4749,No,Medium Value
00-149-4481,Yes,VIP
00-265-0556,No,Low Value
00-275-9990,Yes,High Value
00-285-9607,Yes,VIP
00-335-5034,Yes,VIP
00-477-9449,Yes,VIP
00-496-3067,No,Medium Value
00-520-4376,No,Low Value
00-733-8770,No,Low Value
01-023-2094,Yes,VIP
01-089-2223,No,Medium Value
01-404-3425,Yes,High Value
01-484-8220,Yes,High Value
01-799-2615,No,Low Value
01-925-4021,No,Medium Value
02-004-0620,No,Medium Value
02-055-8248,No,Medium Value
02-100-4320,No,Low Value
02-653-5884,No,Medium Value
02-676-9312,No,Medium Value
02-677-6735,No,Medium Value
02-711-1034,No,Low Value
02-725-7664,No,Medium Value
02-911-0447,Yes,VIP
03-023-9932,Yes,VIP
03-102-0288,No,Medium Value
03-422-8710,Yes,VIP
03-623-6767,Yes,VIP
03-669-7519,No,Medium Value
03-827-4021,No,Low Value
03-874-9055,Yes,VIP
03-950-6074,Yes,High Value
03-977-8103,Yes,High Value
03-991-2098,No,Medium Value
03-992-3728,Yes,High Value
04-349-6759,No,Medium Value
04-352-1558,No,Low Value
04-465-1819,Yes,High Value
04-468-5487,No,Medium Value
04-545-9162,Yes,VIP
04-563-9091,Yes,High Value
04-609-7885,No,Medium Value
04-660-2742,No,Medium Value
04-809-8989,No,Medium Value
04-829-7037,No,Low Value
04-832-3559,No,Low Value
05-067-9686,No,Medium Value
05-167-0833,Yes,High Value
05-465-8765,Yes,High Value
05-506-7216,Yes,High Value
05-710-6109,No,Low Value
05-857-1572,Yes,VIP
05-975-6985,No,Medium Value
06-008-2805,Yes,VIP
06-160-8063,No,Low Value
06-237-7338,Yes,High Value
06-357-6548,No,Medium Value
06-594-3417,Yes,High Value
06-638-0433,No,Low Value
06-647-3248,No,Low Value
06-764-5496,Yes,VIP
06-767-5206,No,Low Value
07-024-4995,Yes,High Value
07-211-9364,No,Low Value
07-323-0255,Yes,VIP
07-395-5818,No,Medium Value
07-402-7433,Yes,High Value
07-479-3919,No,Medium Value
07-560-6637,No,Medium Value
07-751-9620,No,Medium Value
07-816-2673,No,Low Value
07-834-3350,No,Medium Value
07-958-2231,Yes,High Value
08-117-9893,Yes,VIP
08-185-6608,Yes,VIP
08-584-8296,No,Medium Value
08-614-6177,No,Low Value
08-652-2085,No,Medium Value
08-733-0300,No,Medium Value
08-755-1170,No,Low Value
08-806-0588,Yes,VIP
08-977-4418,Yes,High Value
09-216-1957,No,Medium Value
09-258-0424,Yes,VIP
09-332-0236,No,Low Value
09-346-4992,No,Medium Value
09-369-0588,Yes,High Value
09-443-7536,No,Medium Value
09-513-4923,No,Medium Value
09-737-8354,No,Medium Value
09-783-7921,No,Medium Value
09-948-3150,Yes,VIP
10-079-8237,Yes,High Value
10-232-0685,Yes,High Value
10-300-8072,No,Medium Value
10-430-5821,No,Medium Value
10-870-3357,Yes,VIP
10-961-9336,No,Low Value
11-121-0709,Yes,VIP
11-802-5604,No,Low Value
11-850-1953,No,Medium Value
11-975-9054,Yes,High Value
12-029-9344,No,Medium Value
12-409-5166,Yes,High Value
12-417-5609,Yes,VIP
12-440-5464,No,Medium Value
12-699-6543,No,Medium Value
12-839-8066,Yes,VIP
12-851-1771,No,Low Value
13-015-8097,No,Medium Value
13-297-9777,Yes,High Value
13-571-6506,Yes,High Value
13-588-2488,No,Medium Value
13-588-5783,No,Low Value
13-618-9438,Yes,High Value
13-792-4356,No,Medium Value
13-848-5757,Yes,VIP
14-025-2335,No,Low Value
14-118-5229,Yes,VIP
14-249-1256,No,Low Value
14-305-8712,Yes,VIP
14-364-4904,No,Medium Value
14-415-2802,Yes,VIP
14-603-9698,Yes,High Value
14-709-8547,No,Low Value
14-854-9545,Yes,VIP
15-146-4456,Yes,VIP
15-152-9751,Yes,High Value
15-354-9904,Yes,High Value
15-421-1255,Yes,VIP
15-530-3861,No,Low Value
15-640-6493,No,Medium Value
15-663-7994,Yes,VIP
15-711-4107,No,Low Value
16-070-0138,No,Medium Value
16-583-2801,Yes,VIP
17-032-6274,No,Medium Value
17-198-5155,No,Low Value
17-213-2834,Yes,High Value
17-246-6194,Yes,High Value
17-328-4678,No,Low Value
17-344-8603,Yes,High Value
17-364-8685,Yes,High Value
17-551-9779,No,Medium Value
17-648-0171,No,Low Value
17-763-9416,Yes,VIP
18-047-5540,No,Low Value
18-097-5707,No,Medium Value
18-263-0366,No,Low Value
18-452-1635,No,Medium Value
18-518-0140,Yes,High Value
18-593-8611,No,Medium Value
18-605-0795,Yes,High Value
18-614-2070,Yes,High Value
18-633-9387,No,Low Value
18-832-6916,No,Low Value
18-841-7253,Yes,VIP
18-938-9896,Yes,VIP
19-116-4723,Yes,High Value
19-184-7665,No,Medium Value
19-311-9149,Yes,High Value
19-344-0102,Yes,VIP
19-383-9741,No,Medium Value
19-386-9088,Yes,VIP
19-560-0717,Yes,VIP
19-643-1879,No,Medium Value
19-667-0201,No,Medium Value
19-689-4556,Yes,VIP
19-873-9468,Yes,VIP
19-885-2597,No,Medium Value
19-925-2376,No,Medium Value
19-933-8095,No,Low Value
19-999-0134,Yes,High Value
20-157-8631,No,Low Value
20-419-0341,Yes,VIP
20-421-2544,No,Medium Value
20-460-9796,No,Medium Value
20-562-2569,Yes,VIP
20-648-1010,No,Low Value
20-699-9217,Yes,High Value
20-830-4758,No,Medium Value
20-939-3906,No,Low Value
21-048-8669,No,Medium Value
21-232-1397,No,Medium Value
21-297-1223,No,Low Value
21-300-2001,Yes,VIP
21-734-0212,Yes,VIP
21-755-8745,No,Low Value
21-783-9242,No,Low Value
21-808-2293,Yes,VIP
21-821-6398,No,Low Value
21-959-5766,No,Medium Value
22-022-9256,Yes,High Value
22-039-6819,No,Medium Value
22-053-4627,Yes,VIP
22-106-8347,Yes,High Value
22-234-9315,Yes,High Value
22-311-5460,No,Low Value
22-352-0576,Yes,VIP
22-382-9636,Yes,VIP
22-414-4955,Yes,High Value
22-483-3115,Yes,High Value
22-579-3978,No,Low Value
22-692-3470,No,Medium Value
22-860-9860,Yes,VIP
22-981-6595,No,Medium Value
23-039-9347,No,Medium Value
23-066-1915,Yes,High Value
23-085-0811,Yes,High Value
23-246-5927,No,Medium Value
