Demographic_ID,Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location
1,37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,?vry
2,29-392-9296,49,Male,High,Married,High School,High,Huocheng
3,84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen
4,82-561-4233,45,Male,Middle,Married,Master's,High,Boro Utara
5,90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren
6,88-661-4689,39,Male,Middle,Single,High School,Middle,Taocheng
7,37-065-3182,24,Female,High,Divorced,Master's,Middle,Gr?bo
8,84-894-9222,25,Bigender,High,Married,Bachelor's,High,Pryamitsyno
9,44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda
10,78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Gy?r
11,19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng
12,80-684-5072,32,Male,High,Married,High School,Middle,Rokytne
13,23-302-7502,30,Female,High,Widowed,High School,High,Alameda
14,90-069-8934,40,Male,High,Divorced,Master's,High,Dhankut?
15,45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong
16,89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Ngeru
17,00-477-9449,36,Male,Middle,Widowed,Bachelor's,High,White Rock
18,67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Monastyrshchina
19,85-691-4293,21,Female,Middle,Widowed,High School,Middle,Pangkalanbunut
20,56-085-0464,36,Female,High,Married,Master's,High,Lederaba
21,33-264-2822,38,Male,High,Divorced,Bachelor's,Middle,Lugo
22,95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,S?o Roque
23,04-349-6759,33,Female,High,Married,Bachelor's,High,Ban? Khadd?sh
24,21-755-8745,37,Male,High,Widowed,High School,High,Montpellier
25,29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice
26,58-623-8404,50,Male,High,Single,Master's,High,Pasirhuni
27,56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale
28,25-839-8670,45,Female,Middle,Widowed,High School,Middle,T?la
29,89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille
30,55-163-1389,24,Male,High,Divorced,Bachelor's,High,Nasielsk
31,28-225-4286,39,Genderfluid,High,Married,Bachelor's,Middle,Paris 06
32,14-305-8712,48,Male,High,Widowed,High School,Middle,Bronnitsy
33,85-738-6864,25,Male,Middle,Married,High School,High,Inayauan
34,17-198-5155,30,Female,High,Single,Bachelor's,High,Qianjin
35,15-354-9904,34,Male,Middle,Single,Bachelor's,High,Bagahanlad
36,35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie
37,03-950-6074,36,Female,Middle,Married,Master's,Middle,Strabychovo
38,19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi
39,57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh
40,07-816-2673,46,Female,Middle,Married,Master's,Middle,Topol?noye
41,70-761-3550,43,Male,High,Widowed,Master's,Middle,Kov??ov
42,38-242-3251,43,Male,High,Divorced,Bachelor's,Middle,Majdal Ban? F??il
43,95-525-0842,34,Male,High,Single,Master's,High,Delta del Tigre
44,37-101-4922,42,Female,Middle,Married,Master's,High,Santa Cruz La Laguna
45,37-128-5425,40,Female,High,Widowed,Bachelor's,Middle,Manchester
46,27-439-9545,25,Female,High,Married,Bachelor's,High,Norrk?ping
47,37-126-7954,38,Male,Middle,Divorced,Bachelor's,High,So?no
48,82-990-0504,46,Female,Middle,Widowed,Bachelor's,Middle,P?lla
49,21-734-0212,24,Female,Middle,Widowed,High School,High,Namur
50,76-148-9413,43,Non-binary,High,Widowed,Master's,Middle,Benevides
51,53-639-3774,37,Female,Middle,Single,Bachelor's,Middle,Qinghaihu
52,72-431-5021,35,Female,High,Married,Master's,High,Oeiras
53,07-479-3919,27,Female,Middle,Single,High School,High,K?thnos
54,17-032-6274,40,Female,High,Married,Bachelor's,High,Rizal
55,64-166-9097,34,Female,High,Single,High School,High,Fullerton
56,39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao
57,39-636-5871,38,Male,High,Divorced,Bachelor's,High,Bilice
58,71-667-2334,33,Polygender,High,Married,Bachelor's,Middle,Isla Verde
59,35-192-9050,32,Female,Middle,Married,Bachelor's,High,Hunkuyi
60,91-440-0011,50,Female,Middle,Widowed,High School,Middle,Shiree
61,20-830-4758,35,Female,Middle,Widowed,High School,Middle,Strezhevoy
62,84-337-1016,19,Genderfluid,High,Widowed,High School,High,Longxing
63,09-346-4992,46,Bigender,High,Single,Master's,High,Jes?s Men?ndez
64,75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Hongguang
65,29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya
66,12-409-5166,48,Male,Middle,Divorced,Bachelor's,High,Camp Ithier
67,07-024-4995,27,Bigender,Middle,Widowed,High School,Middle,Holboo
68,74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Luxi
69,31-395-1286,47,Male,High,Married,High School,High,Ostashkov
70,60-838-4334,45,Male,High,Single,Bachelor's,High,Hongshanzui
71,71-197-8227,37,Male,Middle,Divorced,High School,High,Tocoa
72,15-530-3861,36,Male,High,Divorced,High School,High,Bayan Tuohai
73,30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Parumasan
74,04-465-1819,37,Male,High,Widowed,Master's,Middle,Karpogory
75,69-692-0614,18,Female,Middle,Widowed,Bachelor's,High,Sh?hz?dpur
76,12-839-8066,20,Male,High,Divorced,Bachelor's,Middle,Muaratiga
77,05-465-8765,27,Female,High,Widowed,High School,Middle,Gjegjan
78,81-580-3810,36,Male,Middle,Married,High School,High,Cr?teil
79,74-353-6312,46,Female,Middle,Married,Bachelor's,Middle,Pameungpeuk
80,78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan
81,31-218-0024,21,Female,High,Divorced,High School,Middle,Lewotola
82,15-711-4107,43,Male,High,Married,Bachelor's,High,Laocheng
83,87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel
84,30-520-8656,19,Female,Middle,Married,Bachelor's,Middle,San Patricio
85,36-323-3504,29,Male,Middle,Widowed,Master's,High,Fengtai
86,93-810-4051,26,Agender,High,Single,Master's,High,?awr?n ad Daydah
87,66-515-3648,20,Female,Middle,Married,Bachelor's,Middle,Magdalena
88,09-216-1957,31,Female,High,Divorced,Master's,Middle,Le?nica
89,23-253-2565,23,Female,High,Divorced,High School,High,Hinlayagan Ilaud
90,74-509-4985,19,Female,High,Single,High School,Middle,Forshaga
91,05-857-1572,23,Female,Middle,Widowed,Bachelor's,High,Rakszawa
92,26-521-8328,49,Female,Middle,Divorced,Bachelor's,High,Fengjiang
93,31-147-6197,23,Non-binary,High,Divorced,High School,High,Jiangcun
94,90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,?kuchi
95,38-935-1865,18,Female,High,Widowed,Bachelor's,High,Novoukrainskiy
96,75-953-8663,35,Male,High,Single,Master's,Middle,Acobambilla
97,38-478-2681,22,Male,Middle,Single,Bachelor's,Middle,Kyonju
98,70-895-5298,28,Female,Middle,Married,Master's,High,Pomar
99,02-653-5884,42,Female,High,Married,Bachelor's,Middle,Zal?an
100,82-572-9091,46,Female,Middle,Widowed,High School,Middle,Mr?gowo
101,86-044-1071,30,Female,Middle,Divorced,Master's,Middle,Ngawi
102,08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo
103,70-108-1493,25,Female,Middle,Single,High School,High,Dobrica
104,46-230-8307,38,Female,High,Single,Master's,Middle,La Roche-sur-Yon
105,74-431-0242,41,Female,Middle,Widowed,Bachelor's,High,Point Pedro
106,78-272-6417,49,Female,Middle,Divorced,High School,High,Marseille
107,13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Tianbao
108,04-563-9091,37,Male,Middle,Widowed,Master's,High,Puqian
109,79-592-5396,30,Female,High,Married,Master's,High,Binalbagan
110,39-952-4459,18,Female,High,Divorced,High School,High,Tessalit
111,67-935-7964,41,Female,Middle,Single,High School,High,Nikolayevsk
112,26-828-2720,40,Male,High,Divorced,Master's,High,Dashuipo
113,57-410-7415,33,Female,High,Divorced,Bachelor's,High,T?n nad Vltavou
114,62-989-8214,30,Female,Middle,Divorced,Bachelor's,High,Kaum Kaler
115,73-827-2774,33,Female,High,Married,Bachelor's,High,Gandapura
116,19-643-1879,45,Male,Middle,Divorced,High School,High,Kawangkoan
117,57-345-3921,42,Female,High,Single,High School,Middle,Mondorf-les-Bains
118,98-817-6731,30,Male,High,Married,Bachelor's,Middle,Manwakh
119,31-788-0864,42,Male,Middle,Single,High School,Middle,Karlstad
120,27-806-4972,26,Female,High,Single,Master's,Middle,Obong
121,48-343-1220,42,Female,High,Divorced,High School,High,Kolsko
122,15-640-6493,31,Male,High,Divorced,High School,Middle,D?lband?n
123,64-846-7450,37,Genderqueer,High,Divorced,Bachelor's,Middle,Shazi
124,58-788-8938,49,Male,High,Married,High School,Middle,Hachi?ji
125,52-240-3825,34,Male,High,Widowed,High School,High,Jolo
126,60-618-2561,41,Male,High,Widowed,High School,Middle,Pedra Azul
127,94-969-6819,33,Male,High,Single,High School,High,Gustavsberg
128,76-982-8107,47,Female,Middle,Widowed,Master's,High,La Mohammedia
129,52-779-8972,47,Male,High,Widowed,High School,High,Florida
130,40-520-3271,29,Female,High,Widowed,High School,High,Zhongcheng
131,79-884-5600,36,Female,High,Widowed,Master's,Middle,Goiatuba
132,80-607-9947,43,Male,High,Divorced,Bachelor's,Middle,Krajan Kidul Rojopolo
133,87-290-8263,31,Male,High,Widowed,High School,High,Metchosin
134,99-316-9993,27,Male,Middle,Widowed,Master's,Middle,Staritsa
135,54-164-2243,48,Male,Middle,Single,High School,Middle,Benito Juarez
136,37-513-5073,33,Female,Middle,Married,Master's,High,Mizque
