Purchase_Fact_ID,Customer_ID,Product_ID,Channel_ID,Time_ID,Device_ID,Payment_ID,Marketing_ID,Shipping_ID,Purchase_Amount,Frequency_of_Purchase,Brand_Loyalty_Score,Product_Rating,Time_Spent_Research_Hours,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Discount_Used,Purchase_Intent,Time_to_Decision_Days
1,37-611-6911,16,2,20240301,3,2,4,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
2,37-611-6911,16,2,20240301,3,2,8,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
3,37-611-6911,16,2,20240301,3,2,12,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
4,37-611-6911,16,2,20240301,3,2,16,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
5,37-611-6911,16,2,20240301,3,2,20,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
6,37-611-6911,16,2,20240301,3,2,24,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
7,37-611-6911,16,2,20240301,3,2,28,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
8,37-611-6911,16,2,20240301,3,2,32,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
9,37-611-6911,16,2,20240301,3,2,36,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
10,37-611-6911,16,2,20240301,3,2,40,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
11,37-611-6911,16,2,20240301,3,2,44,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
12,37-611-6911,16,2,20240301,3,2,48,3,333.80,4,5,5,2,1,7,None,1,Need-based,2
13,29-392-9296,17,3,20240416,3,5,1,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
14,29-392-9296,17,3,20240416,3,5,5,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
15,29-392-9296,17,3,20240416,3,5,9,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
16,29-392-9296,17,3,20240416,3,5,13,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
17,29-392-9296,17,3,20240416,3,5,17,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
18,29-392-9296,17,3,20240416,3,5,21,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
19,29-392-9296,17,3,20240416,3,5,25,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
20,29-392-9296,17,3,20240416,3,5,29,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
21,29-392-9296,17,3,20240416,3,5,33,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
22,29-392-9296,17,3,20240416,3,5,37,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
23,29-392-9296,17,3,20240416,3,5,41,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
24,29-392-9296,17,3,20240416,3,5,45,1,222.22,11,3,1,2,1,5,High,1,Wants-based,6
25,84-649-5117,4,2,20240315,2,1,2,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
26,84-649-5117,4,2,20240315,2,1,6,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
27,84-649-5117,4,2,20240315,2,1,10,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
28,84-649-5117,4,2,20240315,2,1,14,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
29,84-649-5117,4,2,20240315,2,1,18,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
30,84-649-5117,4,2,20240315,2,1,22,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
31,84-649-5117,4,2,20240315,2,1,26,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
32,84-649-5117,4,2,20240315,2,1,30,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
33,84-649-5117,4,2,20240315,2,1,34,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
34,84-649-5117,4,2,20240315,2,1,38,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
35,84-649-5117,4,2,20240315,2,1,42,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
36,84-649-5117,4,2,20240315,2,1,46,3,426.22,2,5,5,0,1,7,Low,1,Impulsive,3
37,82-561-4233,4,2,20240319,3,1,4,3,487.95,8,3,3,0,2,3,None,0,Planned,7
38,82-561-4233,4,2,20240319,3,1,8,3,487.95,8,3,3,0,2,3,None,0,Planned,7
39,82-561-4233,4,2,20240319,3,1,12,3,487.95,8,3,3,0,2,3,None,0,Planned,7
40,82-561-4233,4,2,20240319,3,1,16,3,487.95,8,3,3,0,2,3,None,0,Planned,7
41,82-561-4233,4,2,20240319,3,1,20,3,487.95,8,3,3,0,2,3,None,0,Planned,7
42,82-561-4233,4,2,20240319,3,1,24,3,487.95,8,3,3,0,2,3,None,0,Planned,7
43,82-561-4233,4,2,20240319,3,1,28,3,487.95,8,3,3,0,2,3,None,0,Planned,7
44,82-561-4233,4,2,20240319,3,1,32,3,487.95,8,3,3,0,2,3,None,0,Planned,7
45,82-561-4233,4,2,20240319,3,1,36,3,487.95,8,3,3,0,2,3,None,0,Planned,7
46,82-561-4233,4,2,20240319,3,1,40,3,487.95,8,3,3,0,2,3,None,0,Planned,7
47,82-561-4233,4,2,20240319,3,1,44,3,487.95,8,3,3,0,2,3,None,0,Planned,7
48,82-561-4233,4,2,20240319,3,1,48,3,487.95,8,3,3,0,2,3,None,0,Planned,7
49,90-144-9193,6,1,20240315,1,1,2,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
50,90-144-9193,6,1,20240315,1,1,6,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
51,90-144-9193,6,1,20240315,1,1,10,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
52,90-144-9193,6,1,20240315,1,1,14,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
53,90-144-9193,6,1,20240315,1,1,18,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
54,90-144-9193,6,1,20240315,1,1,22,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
55,90-144-9193,6,1,20240315,1,1,26,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
56,90-144-9193,6,1,20240315,1,1,30,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
57,90-144-9193,6,1,20240315,1,1,34,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
58,90-144-9193,6,1,20240315,1,1,38,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
